2022-02-15 09:23:38.219 [main] WARN  traceId[] io.undertow.websockets.jsr:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2022-02-15 10:22:43.267 [XNIO-1 task-1] WARN  traceId[35f5f3ac-20ee-4e14-8e73-9b150a9e859f] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 120715
2022-02-15 10:24:46.470 [XNIO-1 task-1] WARN  traceId[3611e8b4-d1db-4cf3-93c0-7eddc4dbcb3c] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 123184
2022-02-15 10:27:57.832 [XNIO-1 task-1] WARN  traceId[13a16042-4b83-4cf8-8105-4b328533e1cd] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 191344
2022-02-15 16:24:51.321 [XNIO-1 task-1] WARN  traceId[292e879f-2adf-47e9-9827-e520629f88e1] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 21352241
2022-02-15 16:27:05.785 [XNIO-1 task-1] WARN  traceId[0eeb55e6-7f13-4f2d-b828-01905c28f3db] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 105314
2022-02-15 16:28:31.123 [XNIO-1 task-1] WARN  traceId[42d5502e-3fe2-4256-8f25-3c18e151f2a2] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 85318
2022-02-15 16:29:49.705 [XNIO-1 task-1] WARN  traceId[72041a80-573f-461a-b782-bdd22b1aaf47] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 78561
2022-02-15 16:32:19.836 [XNIO-1 task-1] WARN  traceId[5114ecf6-8df4-4f6f-a4fd-d1473dd1130c] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 150114
2022-02-15 16:33:33.257 [XNIO-1 task-1] WARN  traceId[4b4f9637-18a3-4a6a-93e8-8cee0f977ce2] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 73401
2022-02-15 16:38:06.283 [XNIO-1 task-1] WARN  traceId[13bed714-7cfe-4c83-95f7-63d5e69154b1] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 273009
2022-02-15 16:39:20.062 [XNIO-1 task-1] WARN  traceId[037b8ffa-79b3-434f-bf00-61c7eeca06f5] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 73761
2022-02-15 16:43:05.404 [XNIO-1 task-1] WARN  traceId[d73afc50-51d9-46cc-b8bb-a2d499e3a8a8] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 177812
2022-02-15 16:48:19.176 [XNIO-1 task-1] WARN  traceId[40a48183-aff6-4276-a583-d45ad5b6c073] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 313753
2022-02-15 16:49:49.213 [XNIO-1 task-1] WARN  traceId[9537a737-358e-433b-9576-eb5e44b10d61] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 90018
2022-02-15 16:53:59.417 [XNIO-1 task-1] WARN  traceId[b38f2894-27db-4028-9217-5b03f38bdb57] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 199363
2022-02-15 16:57:20.519 [XNIO-1 task-1] WARN  traceId[985cc5ac-8bbd-424d-b2b8-844848124b78] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 201080
